elevation,location
69.29229736,"(42.81987926925942, -73.9435908193019)"
69.27182007,"(42.819889252621, -73.9436033380133)"
69.25617218,"(42.81989923598121, -73.9436158567288)"
69.26028442,"(42.81990921934005, -73.94362837544838)"
69.26843262,"(42.81991920269755, -73.94364089417195)"
69.27713776,"(42.81992918605366, -73.94365341289955)"
69.23989868,"(42.81993916940843, -73.94366593163124)"
69.20888519,"(42.81994915276183, -73.94367845036697)"
69.16896057,"(42.81995913611386, -73.94369096910668)"
69.10214233,"(42.81996911946452, -73.94370348785048)"
69.00891876,"(42.81997910281383, -73.94371600659832)"
68.89790344,"(42.81998908616177, -73.94372852535025)"
68.78839111,"(42.81999906950835, -73.94374104410616)"
68.69307709,"(42.82000905285356, -73.9437535628661)"
68.58532715,"(42.82001903619741, -73.94376608163009)"
68.4651413,"(42.82002901953989, -73.94377860039816)"
68.36252594,"(42.82003900288102, -73.94379111917027)"
68.24909973,"(42.82004898622078, -73.94380363794642)"
68.11830139,"(42.82005896955916, -73.9438161567266)"
67.98616791,"(42.8200689528962, -73.94382867551082)"
67.94239807,"(42.82007893623187, -73.94384119429907)"
67.91779327,"(42.82008891956617, -73.94385371309136)"
67.8812027,"(42.82009890289911, -73.94386623188774)"
67.897789,"(42.82010888623068, -73.9438787506881)"
67.91168213,"(42.8201188695609, -73.94389126949255)"
67.91901398,"(42.82012885288975, -73.94390378830104)"
67.90547943,"(42.82013883621723, -73.94391630711357)"
67.87398529,"(42.82014881954336, -73.94392882593013)"
67.82965851,"(42.82015880286812, -73.94394134475073)"
67.87754822,"(42.82016878619152, -73.94395386357536)"
67.98927307,"(42.82017876951354, -73.94396638240408)"
68.07790375,"(42.82018875283421, -73.94397890123679)"
68.14344788,"(42.82019873615351, -73.94399142007359)"
68.21849823,"(42.82020871947146, -73.94400393891442)"
68.282341,"(42.82021870278803, -73.94401645775929)"
68.32593536,"(42.82022868610324, -73.94402897660814)"
68.35587311,"(42.82023866941709, -73.94404149546108)"
68.42556763,"(42.82024865272957, -73.94405401431811)"
68.50216675,"(42.8202586360407, -73.94406653317913)"
68.55944061,"(42.82026861935046, -73.94407905204423)"
68.60151672,"(42.82027860265885, -73.94409157091332)"
68.63336182,"(42.82028858596588, -73.94410408978649)"
68.68606567,"(42.82029856927154, -73.9441166086637)"
68.73339844,"(42.82030855257584, -73.94412912754495)"
68.78457642,"(42.82031853587878, -73.94414164643024)"
68.82048798,"(42.82032851918036, -73.94415416531956)"
68.85281372,"(42.82033850248057, -73.94416668421292)"
68.8793335,"(42.82034848577941, -73.94417920311037)"
68.88444519,"(42.8203584690769, -73.9441917220118)"
68.86657715,"(42.82036845237302, -73.94420424091732)"
68.88302612,"(42.82037843566778, -73.94421675982687)"
68.93036652,"(42.82038841896117, -73.94422927874047)"
