elevation,location
68.61110687,"(42.81907901496544, -73.94655764955723)"
68.38777924,"(42.81908823308085, -73.94656620926776)"
68.26047516,"(42.8190974511956, -73.94657476898078)"
68.14138031,"(42.81910666930973, -73.94658332869642)"
68.02081299,"(42.81911588742322, -73.94659188841456)"
67.89877319,"(42.81912510553607, -73.94660044813531)"
67.80688477,"(42.81913432364829, -73.94660900785857)"
67.75515747,"(42.81914354175986, -73.94661756758444)"
67.72847748,"(42.81915275987079, -73.94662612731281)"
67.68014526,"(42.81916197798109, -73.94663468704374)"
67.61145782,"(42.81917119609076, -73.94664324677723)"
67.57474518,"(42.81918041419978, -73.94665180651327)"
67.5284729,"(42.81918963230817, -73.94666036625188)"
67.47274017,"(42.81919885041592, -73.94666892599298)"
67.40727997,"(42.81920806852302, -73.9466774857367)"
67.33857727,"(42.8192172866295, -73.94668604548292)"
67.27475739,"(42.81922650473534, -73.94669460523176)"
67.21889496,"(42.81923572284054, -73.94670316498309)"
67.17513275,"(42.8192449409451, -73.94671172473704)"
67.11868286,"(42.81925415904902, -73.9467202844935)"
67.07968903,"(42.81926337715232, -73.9467288442525)"
67.04434204,"(42.81927259525496, -73.94673740401407)"
67.00185394,"(42.81928181335697, -73.9467459637782)"
66.95187378,"(42.81929103145836, -73.94675452354483)"
66.89398193,"(42.81930024955908, -73.94676308331407)"
66.8469162,"(42.81930946765919, -73.94677164308581)"
66.80223083,"(42.81931868575865, -73.94678020286017)"
66.76873016,"(42.81932790385747, -73.94678876263703)"
66.75501251,"(42.81933712195566, -73.94679732241644)"
66.74913025,"(42.8193463400532, -73.94680588219842)"
66.75575256,"(42.81935555815011, -73.94681444198295)"
66.76682281,"(42.81936477624639, -73.94682300177004)"
66.78572083,"(42.81937399434203, -73.94683156155969)"
66.81523895,"(42.81938321243702, -73.9468401213519)"
66.8008194,"(42.81939243053139, -73.9468486811466)"
66.7698288,"(42.81940164862512, -73.94685724094393)"
66.7374115,"(42.8194108667182, -73.94686580074375)"
66.70404816,"(42.81942008481064, -73.94687436054613)"
66.67007446,"(42.81942930290246, -73.94688292035113)"
66.63047791,"(42.81943852099363, -73.94689148015863)"
66.59015656,"(42.81944773908416, -73.94690003996868)"
66.54910278,"(42.81945695717406, -73.9469085997813)"
66.50912476,"(42.81946617526333, -73.94691715959641)"
66.47126007,"(42.81947539335195, -73.94692571941414)"
66.43395233,"(42.81948461143994, -73.94693427923443)"
66.40190125,"(42.81949382952728, -73.94694283905721)"
66.37509918,"(42.81950304761399, -73.94695139888262)"
66.35264587,"(42.81951226570007, -73.94695995871052)"
66.33449554,"(42.81952148378551, -73.94696851854098)"
66.31755066,"(42.81953070187031, -73.946977078374)"
66.30072784,"(42.81953991995446, -73.94698563820958)"
66.28401184,"(42.81954913803798, -73.94699419804772)"
66.2600174,"(42.81955835612087, -73.94700275788841)"
66.21304321,"(42.81956757420313, -73.94701131773161)"
66.16340637,"(42.81957679228473, -73.94701987757742)"
66.11109161,"(42.8195860103657, -73.94702843742573)"
66.05610657,"(42.81959522844604, -73.94703699727665)"
66.00628662,"(42.81960444652574, -73.94704555713008)"
65.96187592,"(42.81961366460479, -73.94705411698612)"
65.91429901,"(42.81962306339324, -73.94706227339464)"
65.86443329,"(42.81963285933524, -73.94706954312653)"
65.81121063,"(42.81964265527678, -73.9470768128607)"
65.71876526,"(42.81965245121787, -73.9470840825972)"
65.59944153,"(42.81966224715848, -73.94709135233603)"
65.45793915,"(42.81967204309864, -73.94709862207708)"
65.29998016,"(42.81968183903835, -73.94710589182051)"
